currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
28,28,15,15,15,14,14
30,30,16,16,16,15,15
32,32,17,17,17,16,16
34,34,18,18,18,17,17
36,36,19,19,19,18,18
38,38,20,20,20,19,19
40,40,21,21,21,20,20
42,42,22,22,22,21,21
44,44,23,23,23,22,22
46,46,24,24,24,23,23
48,48,25,25,25,24,24
50,50,26,26,26,25,25
52,52,27,27,27,26,26
54,54,28,28,28,27,27
56,56,29,29,29,28,28
58,58,30,30,30,29,29
59,59,31,31,31,29,29
61,61,32,32,32,30,30
63,63,33,33,33,31,31
64,64,34,34,34,31,31
66,66,35,35,35,32,32
66,66,36,35,36,32,32
68,68,37,37,37,33,33
70,70,38,38,38,34,34
72,72,39,39,39,35,35
74,74,40,40,40,36,36
76,76,41,41,41,37,37
77,77,42,42,42,37,37
78,78,43,43,43,37,37
80,80,44,44,44,38,38
82,82,45,45,45,39,39
84,84,46,46,46,40,40
86,86,47,47,47,41,41
87,87,48,48,48,41,41
89,89,49,49,49,42,42
91,91,50,50,50,43,43
93,93,51,51,51,44,44
94,94,52,52,52,44,44
96,96,53,53,53,45,45
96,96,54,53,54,45,45
98,98,55,55,55,46,46
98,98,56,55,56,46,46
100,100,57,57,57,47,47
102,102,58,58,58,48,48
104,104,59,59,59,49,49
106,106,60,60,60,50,50
108,108,61,61,61,51,51
110,110,62,62,62,52,52
112,112,63,63,63,53,53
112,112,64,63,64,53,53
112,112,65,63,65,53,53
114,114,66,66,66,54,54
116,116,67,67,67,55,55
118,118,68,68,68,56,56
118,118,69,68,69,56,56
120,120,70,70,70,57,57
121,121,71,71,71,57,57
123,123,72,72,72,58,58
125,125,73,73,73,59,59
127,127,74,74,74,60,60
129,129,75,75,75,61,61
131,131,76,76,76,62,62
133,133,77,77,77,63,63
134,134,78,78,78,63,63
136,136,79,79,79,64,64
137,137,80,80,80,64,64
139,139,81,81,81,65,65
139,139,82,81,82,65,65
141,141,83,83,83,66,66
143,143,84,84,84,67,67
145,145,85,85,85,68,68
147,147,86,86,86,69,69
148,148,87,87,87,69,69
149,149,88,88,88,69,69
151,151,89,89,89,70,70
151,151,90,89,90,70,70
153,153,91,91,91,71,71
154,154,92,92,92,71,71
156,156,93,93,93,72,72
157,157,94,94,94,72,72
159,159,95,95,95,73,73
161,161,96,96,96,74,74
161,161,97,96,97,74,74
163,163,98,98,98,75,75
164,164,99,99,99,75,75
166,166,100,100,100,76,76
167,167,101,101,101,76,76
168,168,102,102,102,76,76
