currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
28,28,15,15,15,14,14
29,29,16,16,16,14,14
31,31,17,17,17,15,15
33,33,18,18,18,16,16
35,35,19,19,19,17,17
37,37,20,20,20,18,18
39,39,21,21,21,19,19
41,41,22,22,22,20,20
43,43,23,23,23,21,21
45,45,24,24,24,22,22
47,47,25,25,25,23,23
47,47,26,25,26,23,23
49,49,27,27,27,24,24
51,51,28,28,28,25,25
53,53,29,29,29,26,26
55,55,30,30,30,27,27
57,57,31,31,31,28,28
59,59,32,32,32,29,29
60,60,33,33,33,29,29
62,62,34,34,34,30,30
64,64,35,35,35,31,31
66,66,36,36,36,32,32
68,68,37,37,37,33,33
70,70,38,38,38,34,34
72,72,39,39,39,35,35
74,74,40,40,40,36,36
76,76,41,41,41,37,37
78,78,42,42,42,38,38
80,80,43,43,43,39,39
82,82,44,44,44,40,40
84,84,45,45,45,41,41
86,86,46,46,46,42,42
88,88,47,47,47,43,43
89,89,48,48,48,43,43
91,91,49,49,49,44,44
93,93,50,50,50,45,45
95,95,51,51,51,46,46
97,97,52,52,52,47,47
99,99,53,53,53,48,48
101,101,54,54,54,49,49
103,103,55,55,55,50,50
105,105,56,56,56,51,51
105,105,57,56,57,51,51
105,105,58,56,58,51,51
107,107,59,59,59,52,52
109,109,60,60,60,53,53
111,111,61,61,61,54,54
112,112,62,62,62,54,54
114,114,63,63,63,55,55
116,116,64,64,64,56,56
116,116,65,64,65,56,56
117,117,66,66,66,56,56
119,119,67,67,67,57,57
121,121,68,68,68,58,58
122,122,69,69,69,58,58
124,124,70,70,70,59,59
126,126,71,71,71,60,60
128,128,72,72,72,61,61
130,130,73,73,73,62,62
132,132,74,74,74,63,63
134,134,75,75,75,64,64
136,136,76,76,76,65,65
137,137,77,77,77,65,65
138,138,78,78,78,65,65
140,140,79,79,79,66,66
141,141,80,80,80,66,66
141,141,81,80,81,66,66
143,143,82,82,82,67,67
145,145,83,83,83,68,68
147,147,84,84,84,69,69
149,149,85,85,85,70,70
150,150,86,86,86,70,70
152,152,87,87,87,71,71
154,154,88,88,88,72,72
156,156,89,89,89,73,73
158,158,90,90,90,74,74
160,160,91,91,91,75,75
162,162,92,92,92,76,76
164,164,93,93,93,77,77
165,165,94,94,94,77,77
166,166,95,95,95,77,77
168,168,96,96,96,78,78
170,170,97,97,97,79,79
170,170,98,97,98,79,79
172,172,99,99,99,80,80
172,172,100,99,100,80,80
173,173,101,101,101,80,80
175,175,102,102,102,81,81
