currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
27,27,15,15,15,13,13
29,29,16,16,16,14,14
29,29,17,16,17,14,14
31,31,18,18,18,15,15
31,31,19,18,19,15,15
31,31,20,18,20,15,15
33,33,21,21,21,16,16
35,35,22,22,22,17,17
37,37,23,23,23,18,18
39,39,24,24,24,19,19
41,41,25,25,25,20,20
43,43,26,26,26,21,21
45,45,27,27,27,22,22
47,47,28,28,28,23,23
49,49,29,29,29,24,24
51,51,30,30,30,25,25
53,53,31,31,31,26,26
55,55,32,32,32,27,27
55,55,33,32,33,27,27
57,57,34,34,34,28,28
59,59,35,35,35,29,29
61,61,36,36,36,30,30
61,61,37,36,37,30,30
63,63,38,38,38,31,31
65,65,39,39,39,32,32
67,67,40,40,40,33,33
68,68,41,41,41,33,33
70,70,42,42,42,34,34
71,71,43,43,43,34,34
73,73,44,44,44,35,35
75,75,45,45,45,36,36
77,77,46,46,46,37,37
77,77,47,46,47,37,37
78,78,48,48,48,37,37
79,79,49,49,49,37,37
81,81,50,50,50,38,38
83,83,51,51,51,39,39
85,85,52,52,52,40,40
87,87,53,53,53,41,41
86,87,54,53,54,41,41
86,87,55,53,55,41,41
88,88,56,56,56,42,42
90,90,57,57,57,43,43
92,92,58,58,58,44,44
91,92,59,58,59,44,44
91,92,60,58,60,44,44
91,92,61,58,61,44,44
91,92,62,58,62,44,44
93,93,63,63,63,45,45
94,94,64,64,64,45,45
96,96,65,65,65,46,46
98,98,66,66,66,47,47
98,98,67,66,67,47,47
98,98,68,66,68,47,47
98,98,69,66,69,47,47
100,100,70,70,70,48,48
101,101,71,71,71,48,48
103,103,72,72,72,49,49
105,105,73,73,73,50,50
107,107,74,74,74,51,51
109,109,75,75,75,52,52
111,111,76,76,76,53,53
111,111,77,76,77,53,53
111,111,78,76,78,53,53
111,111,79,76,79,53,53
113,113,80,80,80,54,54
113,113,81,80,81,54,54
113,113,82,80,82,54,54
113,113,83,80,83,54,54
114,114,84,84,84,54,54
114,114,85,84,85,54,54
116,116,86,86,86,55,55
118,118,87,87,87,56,56
118,118,88,87,88,56,56
120,120,89,89,89,57,57
121,121,90,90,90,57,57
122,122,91,91,91,57,57
124,124,92,92,92,58,58
125,125,93,93,93,58,58
125,125,94,93,94,58,58
127,127,95,95,95,59,59
129,129,96,96,96,60,60
131,131,97,97,97,61,61
130,131,98,97,98,61,61
131,131,99,97,99,61,61
132,132,100,100,100,61,61
134,134,101,101,101,62,62
134,134,102,101,102,62,62
