currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
28,28,15,15,15,14,14
30,30,16,16,16,15,15
32,32,17,17,17,16,16
32,32,18,17,18,16,16
34,34,19,19,19,17,17
36,36,20,20,20,18,18
38,38,21,21,21,19,19
40,40,22,22,22,20,20
42,42,23,23,23,21,21
44,44,24,24,24,22,22
46,46,25,25,25,23,23
48,48,26,26,26,24,24
50,50,27,27,27,25,25
52,52,28,28,28,26,26
54,54,29,29,29,27,27
56,56,30,30,30,28,28
58,58,31,31,31,29,29
58,58,32,31,32,29,29
60,60,33,33,33,30,30
62,62,34,34,34,31,31
64,64,35,35,35,32,32
66,66,36,36,36,33,33
67,67,37,37,37,33,33
67,67,38,37,38,33,33
69,69,39,39,39,34,34
69,69,40,39,40,34,34
69,69,41,39,41,34,34
71,71,42,42,42,35,35
71,71,43,42,43,35,35
71,71,44,42,44,35,35
73,73,45,45,45,36,36
74,74,46,46,46,36,36
76,76,47,47,47,37,37
78,78,48,48,48,38,38
80,80,49,49,49,39,39
80,80,50,49,50,39,39
80,80,51,49,51,39,39
81,81,52,52,52,39,39
83,83,53,53,53,40,40
83,83,54,53,54,40,40
85,85,55,55,55,41,41
85,85,56,55,56,41,41
87,87,57,57,57,42,42
89,89,58,58,58,43,43
91,91,59,59,59,44,44
92,92,60,60,60,44,44
94,94,61,61,61,45,45
96,96,62,62,62,46,46
98,98,63,63,63,47,47
100,100,64,64,64,48,48
101,101,65,65,65,48,48
103,103,66,66,66,49,49
105,105,67,67,67,50,50
107,107,68,68,68,51,51
107,107,69,68,69,51,51
109,109,70,70,70,52,52
109,109,71,70,71,52,52
109,109,72,70,72,52,52
111,111,73,73,73,53,53
113,113,74,74,74,54,54
115,115,75,75,75,55,55
114,115,76,75,76,55,55
115,115,77,75,77,55,55
115,115,78,75,78,55,55
116,116,79,79,79,55,55
118,118,80,80,80,56,56
120,120,81,81,81,57,57
122,122,82,82,82,58,58
122,122,83,82,83,58,58
124,124,84,84,84,59,59
126,126,85,85,85,60,60
126,126,86,85,86,60,60
128,128,87,87,87,61,61
127,128,88,87,88,61,61
129,129,89,89,89,62,62
130,130,90,90,90,62,62
132,132,91,91,91,63,63
133,133,92,92,92,63,63
133,133,93,92,93,63,63
134,134,94,94,94,63,63
136,136,95,95,95,64,64
136,136,96,95,96,64,64
138,138,97,97,97,65,65
138,138,98,97,98,65,65
139,139,99,99,99,65,65
139,139,100,99,100,65,65
140,140,101,101,101,65,65
141,141,102,102,102,65,65
