currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
23,23,13,13,13,11,11
25,25,14,14,14,12,12
27,27,15,15,15,13,13
29,29,16,16,16,14,14
30,30,17,17,17,14,14
32,32,18,18,18,15,15
33,33,19,19,19,15,15
35,35,20,20,20,16,16
35,35,21,20,21,16,16
37,37,22,22,22,17,17
39,39,23,23,23,18,18
41,41,24,24,24,19,19
43,43,25,25,25,20,20
45,45,26,26,26,21,21
47,47,27,27,27,22,22
49,49,28,28,28,23,23
51,51,29,29,29,24,24
53,53,30,30,30,25,25
55,55,31,31,31,26,26
56,56,32,32,32,26,26
55,56,33,32,33,26,26
56,56,34,32,34,26,26
57,57,35,35,35,26,26
59,59,36,36,36,27,27
61,61,37,37,37,28,28
62,62,38,38,38,28,28
64,64,39,39,39,29,29
66,66,40,40,40,30,30
68,68,41,41,41,31,31
70,70,42,42,42,32,32
71,71,43,43,43,32,32
73,73,44,44,44,33,33
75,75,45,45,45,34,34
77,77,46,46,46,35,35
79,79,47,47,47,36,36
80,80,48,48,48,36,36
82,82,49,49,49,37,37
84,84,50,50,50,38,38
84,84,51,50,51,38,38
86,86,52,52,52,39,39
88,88,53,53,53,40,40
90,90,54,54,54,41,41
91,91,55,55,55,41,41
92,92,56,56,56,41,41
94,94,57,57,57,42,42
96,96,58,58,58,43,43
98,98,59,59,59,44,44
100,100,60,60,60,45,45
102,102,61,61,61,46,46
103,103,62,62,62,46,46
105,105,63,63,63,47,47
106,106,64,64,64,47,47
108,108,65,65,65,48,48
110,110,66,66,66,49,49
111,111,67,67,67,49,49
112,112,68,68,68,49,49
114,114,69,69,69,50,50
116,116,70,70,70,51,51
118,118,71,71,71,52,52
119,119,72,72,72,52,52
119,119,73,72,73,52,52
121,121,74,74,74,53,53
123,123,75,75,75,54,54
125,125,76,76,76,55,55
127,127,77,77,77,56,56
126,127,78,77,78,56,56
128,128,79,79,79,57,57
129,129,80,80,80,57,57
130,130,81,81,81,57,57
132,132,82,82,82,58,58
134,134,83,83,83,59,59
136,136,84,84,84,60,60
138,138,85,85,85,61,61
140,140,86,86,86,62,62
139,140,87,86,87,62,62
140,140,88,86,88,62,62
141,141,89,89,89,62,62
142,142,90,90,90,62,62
144,144,91,91,91,63,63
145,145,92,92,92,63,63
145,145,93,92,93,63,63
147,147,94,94,94,64,64
148,148,95,95,95,64,64
149,149,96,96,96,64,64
150,150,97,97,97,64,64
151,151,98,98,98,64,64
153,153,99,99,99,65,65
155,155,100,100,100,66,66
156,156,101,101,101,66,66
157,157,102,102,102,66,66
