currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
23,23,13,13,13,11,11
25,25,14,14,14,12,12
27,27,15,15,15,13,13
29,29,16,16,16,14,14
31,31,17,17,17,15,15
33,33,18,18,18,16,16
35,35,19,19,19,17,17
37,37,20,20,20,18,18
39,39,21,21,21,19,19
41,41,22,22,22,20,20
43,43,23,23,23,21,21
45,45,24,24,24,22,22
45,45,25,24,25,22,22
47,47,26,26,26,23,23
49,49,27,27,27,24,24
51,51,28,28,28,25,25
53,53,29,29,29,26,26
55,55,30,30,30,27,27
57,57,31,31,31,28,28
59,59,32,32,32,29,29
61,61,33,33,33,30,30
63,63,34,34,34,31,31
65,65,35,35,35,32,32
66,66,36,36,36,32,32
68,68,37,37,37,33,33
70,70,38,38,38,34,34
70,70,39,38,39,34,34
71,71,40,40,40,34,34
71,71,41,40,41,34,34
73,73,42,42,42,35,35
75,75,43,43,43,36,36
76,76,44,44,44,36,36
78,78,45,45,45,37,37
79,79,46,46,46,37,37
81,81,47,47,47,38,38
83,83,48,48,48,39,39
84,84,49,49,49,39,39
86,86,50,50,50,40,40
88,88,51,51,51,41,41
90,90,52,52,52,42,42
92,92,53,53,53,43,43
92,92,54,53,54,43,43
94,94,55,55,55,44,44
95,95,56,56,56,44,44
95,95,57,56,57,44,44
97,97,58,58,58,45,45
99,99,59,59,59,46,46
101,101,60,60,60,47,47
103,103,61,61,61,48,48
105,105,62,62,62,49,49
107,107,63,63,63,50,50
109,109,64,64,64,51,51
111,111,65,65,65,52,52
113,113,66,66,66,53,53
115,115,67,67,67,54,54
117,117,68,68,68,55,55
118,118,69,69,69,55,55
120,120,70,70,70,56,56
121,121,71,71,71,56,56
123,123,72,72,72,57,57
125,125,73,73,73,58,58
126,126,74,74,74,58,58
127,127,75,75,75,58,58
129,129,76,76,76,59,59
131,131,77,77,77,60,60
132,132,78,78,78,60,60
134,134,79,79,79,61,61
136,136,80,80,80,62,62
137,137,81,81,81,62,62
139,139,82,82,82,63,63
140,140,83,83,83,63,63
141,141,84,84,84,63,63
142,142,85,85,85,63,63
144,144,86,86,86,64,64
145,145,87,87,87,64,64
146,146,88,88,88,64,64
146,146,89,88,89,64,64
147,147,90,90,90,64,64
149,149,91,91,91,65,65
151,151,92,92,92,66,66
153,153,93,93,93,67,67
155,155,94,94,94,68,68
155,155,95,94,95,68,68
157,157,96,96,96,69,69
157,157,97,96,97,69,69
159,159,98,98,98,70,70
160,160,99,99,99,70,70
161,161,100,100,100,70,70
163,163,101,101,101,71,71
164,164,102,102,102,71,71
