currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
20,20,11,11,11,10,10
22,22,12,12,12,11,11
24,24,13,13,13,12,12
26,26,14,14,14,13,13
28,28,15,15,15,14,14
29,29,16,16,16,14,14
29,29,17,16,17,14,14
31,31,18,18,18,15,15
32,32,19,19,19,15,15
34,34,20,20,20,16,16
35,35,21,21,21,16,16
37,37,22,22,22,17,17
39,39,23,23,23,18,18
40,40,24,24,24,18,18
42,42,25,25,25,19,19
44,44,26,26,26,20,20
46,46,27,27,27,21,21
48,48,28,28,28,22,22
50,50,29,29,29,23,23
52,52,30,30,30,24,24
54,54,31,31,31,25,25
56,56,32,32,32,26,26
58,58,33,33,33,27,27
58,58,34,33,34,27,27
60,60,35,35,35,28,28
62,62,36,36,36,29,29
64,64,37,37,37,30,30
65,65,38,38,38,30,30
67,67,39,39,39,31,31
68,68,40,40,40,31,31
70,70,41,41,41,32,32
71,71,42,42,42,32,32
73,73,43,43,43,33,33
73,73,44,43,44,33,33
74,74,45,45,45,33,33
76,76,46,46,46,34,34
77,77,47,47,47,34,34
78,78,48,48,48,34,34
80,80,49,49,49,35,35
82,82,50,50,50,36,36
84,84,51,51,51,37,37
86,86,52,52,52,38,38
88,88,53,53,53,39,39
90,90,54,54,54,40,40
92,92,55,55,55,41,41
94,94,56,56,56,42,42
95,95,57,57,57,42,42
97,97,58,58,58,43,43
99,99,59,59,59,44,44
100,100,60,60,60,44,44
100,100,61,60,61,44,44
101,101,62,62,62,44,44
103,103,63,63,63,45,45
105,105,64,64,64,46,46
106,106,65,65,65,46,46
107,107,66,66,66,46,46
107,107,67,66,67,46,46
106,107,68,66,68,46,46
107,107,69,66,69,46,46
108,108,70,70,70,46,46
109,109,71,71,71,46,46
110,110,72,72,72,46,46
111,111,73,73,73,46,46
112,112,74,74,74,46,46
114,114,75,75,75,47,47
116,116,76,76,76,48,48
115,116,77,76,77,48,48
116,116,78,76,78,48,48
117,117,79,79,79,48,48
119,119,80,80,80,49,49
120,120,81,81,81,49,49
119,120,82,81,82,49,49
121,121,83,83,83,50,50
123,123,84,84,84,51,51
125,125,85,85,85,52,52
126,126,86,86,86,52,52
127,127,87,87,87,52,52
128,128,88,88,88,52,52
127,128,89,88,89,52,52
128,128,90,88,90,52,52
128,128,91,88,91,52,52
127,128,92,88,92,52,52
129,129,93,93,93,53,53
128,129,94,93,94,53,53
130,130,95,95,95,54,54
131,131,96,96,96,54,54
133,133,97,97,97,55,55
133,133,98,97,98,55,55
133,133,99,97,99,55,55
135,135,100,100,100,56,56
136,136,101,101,101,56,56
137,137,102,102,102,56,56
