currentNumberOfWords,maxNumberOfWords,currentTime,timeWithMaxWords,convergenceTime,maxNumberOfDifferentWords,currentNumberOfDifferentWords
0,0,0,0,0,0,0
0,0,1,0,1,0,0
2,2,2,2,2,1,1
4,4,3,3,3,2,2
6,6,4,4,4,3,3
8,8,5,5,5,4,4
10,10,6,6,6,5,5
12,12,7,7,7,6,6
14,14,8,8,8,7,7
16,16,9,9,9,8,8
18,18,10,10,10,9,9
19,19,11,11,11,9,9
21,21,12,12,12,10,10
22,22,13,13,13,10,10
24,24,14,14,14,11,11
26,26,15,15,15,12,12
28,28,16,16,16,13,13
30,30,17,17,17,14,14
32,32,18,18,18,15,15
34,34,19,19,19,16,16
36,36,20,20,20,17,17
38,38,21,21,21,18,18
40,40,22,22,22,19,19
42,42,23,23,23,20,20
44,44,24,24,24,21,21
45,45,25,25,25,21,21
47,47,26,26,26,22,22
49,49,27,27,27,23,23
51,51,28,28,28,24,24
52,52,29,29,29,24,24
54,54,30,30,30,25,25
56,56,31,31,31,26,26
57,57,32,32,32,26,26
59,59,33,33,33,27,27
61,61,34,34,34,28,28
63,63,35,35,35,29,29
65,65,36,36,36,30,30
67,67,37,37,37,31,31
68,68,38,38,38,31,31
69,69,39,39,39,31,31
71,71,40,40,40,32,32
72,72,41,41,41,32,32
74,74,42,42,42,33,33
76,76,43,43,43,34,34
78,78,44,44,44,35,35
80,80,45,45,45,36,36
82,82,46,46,46,37,37
84,84,47,47,47,38,38
86,86,48,48,48,39,39
87,87,49,49,49,39,39
89,89,50,50,50,40,40
90,90,51,51,51,40,40
92,92,52,52,52,41,41
93,93,53,53,53,41,41
95,95,54,54,54,42,42
97,97,55,55,55,43,43
98,98,56,56,56,43,43
100,100,57,57,57,44,44
102,102,58,58,58,45,45
104,104,59,59,59,46,46
106,106,60,60,60,47,47
108,108,61,61,61,48,48
109,109,62,62,62,48,48
109,109,63,62,63,48,48
110,110,64,64,64,48,48
112,112,65,65,65,49,49
114,114,66,66,66,50,50
115,115,67,67,67,50,50
117,117,68,68,68,51,51
117,117,69,68,69,51,51
117,117,70,68,70,51,51
119,119,71,71,71,52,52
121,121,72,72,72,53,53
123,123,73,73,73,54,54
125,125,74,74,74,55,55
126,126,75,75,75,55,55
128,128,76,76,76,56,56
129,129,77,77,77,56,56
130,130,78,78,78,56,56
131,131,79,79,79,56,56
133,133,80,80,80,57,57
135,135,81,81,81,58,58
137,137,82,82,82,59,59
138,138,83,83,83,59,59
139,139,84,84,84,59,59
141,141,85,85,85,60,60
142,142,86,86,86,60,60
144,144,87,87,87,61,61
145,145,88,88,88,61,61
146,146,89,89,89,61,61
148,148,90,90,90,62,62
150,150,91,91,91,63,63
151,151,92,92,92,63,63
152,152,93,93,93,63,63
151,152,94,93,94,63,63
149,152,95,93,95,63,63
150,152,96,93,96,63,63
152,152,97,93,97,64,64
154,154,98,98,98,65,65
156,156,99,99,99,66,66
157,157,100,100,100,66,66
158,158,101,101,101,66,66
160,160,102,102,102,67,67
